Instance Type,PricePerUnit
m5n.xlarge,0.238
m5ad.xlarge,0.206
r6idn.xlarge,0.39078
m7g.medium,0.0408
x2gd.metal,5.344
i4i.xlarge,0.343
r5d.8xlarge,2.304
m6in.large,0.13923
m5ad.24xlarge,4.944
c6gd.2xlarge,0.3072
d2.2xlarge,1.38
m7gd.12xlarge,2.5628
x2iedn.xlarge,0.83363
r6i.4xlarge,1.008
m5.24xlarge,4.608
c6gd.large,0.0768
m7a.48xlarge,11.12832
r5ad.24xlarge,6.288
c5a.4xlarge,0.616
r5n.4xlarge,1.192
m6i.16xlarge,3.072
r7a.2xlarge,0.6086
r7i.xlarge,0.2646
m5a.8xlarge,1.376
r7a.12xlarge,3.6516
m5zn.2xlarge,0.6607
m5dn.16xlarge,4.352
m5dn.12xlarge,3.264
c7a.32xlarge,6.56896
r6a.xlarge,0.2268
c6id.24xlarge,4.8384
r7i.metal-24xl,6.3504
m5d.2xlarge,0.452
c7gd.12xlarge,2.1773
c6g.12xlarge,1.632
c7a.medium,0.05132
i3.xlarge,0.312
t3.small,0.0208
g4dn.4xlarge,1.204
r6id.xlarge,0.3024
i3en.2xlarge,0.904
m2.2xlarge,0.49
z1d.2xlarge,0.744
m5zn.large,0.1652
t2.large,0.0928
m6a.16xlarge,2.7648
m6a.metal,8.2944
r4.xlarge,0.266
r7i.4xlarge,1.0584
i4i.12xlarge,4.118
g4dn.12xlarge,3.912
m6a.32xlarge,5.5296
m3.2xlarge,0.532
h1.16xlarge,3.744
c5.4xlarge,0.68
c5d.4xlarge,0.768
t2.medium,0.0464
c6gd.metal,2.4576
c7g.xlarge,0.145
m6gd.medium,0.0452
c6gd.medium,0.0384
m7a.32xlarge,7.41888
m5.8xlarge,1.536
x2idn.16xlarge,6.669
m2.4xlarge,0.98
r7i.12xlarge,3.1752
g3.8xlarge,2.28
r3.4xlarge,1.33
m6g.large,0.077
m6id.large,0.11865
t3.xlarge,0.1664
c7i.12xlarge,2.142
g4dn.metal,7.824
r6gd.large,0.1152
m6i.4xlarge,0.768
r6g.large,0.1008
m5dn.8xlarge,2.176
u-6tb1.112xlarge,54.6
c6gd.xlarge,0.1536
r6id.32xlarge,9.6768
x2iedn.32xlarge,26.676
m6gd.large,0.0904
u-18tb1.112xlarge,163.8
inf1.24xlarge,4.721
c5a.16xlarge,2.464
r5n.24xlarge,7.152
m7i-flex.large,0.09576
x1e.xlarge,0.834
c5.12xlarge,2.04
m6gd.8xlarge,1.4464
m5a.16xlarge,2.752
x2iedn.8xlarge,6.669
g3.4xlarge,1.14
r6id.4xlarge,1.2096
c5ad.16xlarge,2.752
c6a.xlarge,0.153
r7g.12xlarge,2.5704
c6gn.medium,0.0432
r6gd.xlarge,0.2304
m5ad.large,0.103
m6g.4xlarge,0.616
im4gn.xlarge,0.36379
m6i.metal,6.144
m6idn.metal,10.18368
r6a.48xlarge,10.8864
g4dn.2xlarge,0.752
m6id.32xlarge,7.5936
trn1.2xlarge,1.34375
r4.16xlarge,4.256
x1e.2xlarge,1.668
r6idn.16xlarge,6.25248
dl1.24xlarge,13.10904
c5ad.4xlarge,0.688
c6i.2xlarge,0.34
a1.medium,0.0255
r7gd.12xlarge,3.2659
m7a.4xlarge,0.92736
r7g.medium,0.0536
m7a.large,0.11592
t3a.micro,0.0094
r5.xlarge,0.252
x2gd.2xlarge,0.668
c5n.4xlarge,0.864
r3.large,0.166
i4g.4xlarge,1.23552
is4gen.8xlarge,4.6104
d2.xlarge,0.69
r5b.xlarge,0.298
r6gd.8xlarge,1.8432
m5a.2xlarge,0.344
x1e.8xlarge,6.672
u-9tb1.112xlarge,81.9
d3en.4xlarge,2.103
c6in.24xlarge,5.4432
g5.12xlarge,5.672
c7g.16xlarge,2.32
h1.2xlarge,0.468
x2idn.24xlarge,10.0035
m5n.12xlarge,2.856
m7gd.4xlarge,0.8543
r6id.2xlarge,0.6048
c7gn.16xlarge,3.9936
m6i.24xlarge,4.608
p3.8xlarge,12.24
r5b.12xlarge,3.576
t3.2xlarge,0.3328
m5d.16xlarge,3.616
r6i.2xlarge,0.504
c5ad.large,0.086
x2gd.16xlarge,5.344
r7a.medium,0.07608
r6g.16xlarge,3.2256
t2.small,0.023
r5d.12xlarge,3.456
r7gd.4xlarge,1.0886
m6a.xlarge,0.1728
